Артикул(SKU),Наименование
100068,Apple iPad mini 6 Wi-Fi 64Gb Starlight
100069,Apple iPad mini 6 Wi-Fi 64Gb Purple
100164,Apple iPad mini 6 Wi-Fi 64Gb Space Gray
101275, Планшет Apple iPad Mini (2021) 6 256 GB  LTE Pink  
101276, Планшет Apple iPad Mini (2021) 6 256 GB  Wi-Fi Pink  
101267,Планшет Apple iPad mini 7 (2024) 256Gb Wi-Fi Purple
101268,Планшет Apple iPad mini 7 (2024) 256Gb Wi-Fi Starlight
101269,Планшет Apple iPad mini 7 (2024) 256Gb Wi-Fi Blue
101270,Планшет Apple iPad mini 7 (2024) 256Gb Wi-Fi Space Gray
101271,Планшет Apple iPad mini 7 (2024) 256Gb LTE Purple
101272,Планшет Apple iPad mini 7 (2024) 256Gb LTE Starlight
101273,Планшет Apple iPad mini 7 (2024) 256Gb LTE Blue
101274,Планшет Apple iPad mini 7 (2024) 256Gb LTE Space Gray
100333,"Apple iPad Air 11 2024 M2, 128 GB, Wi-Fi, iPadOS, Starlight"
100334,"Apple iPad Air 11 2024 M2, 128 GB, Wi-Fi, iPadOS, blue"
100335,"Apple iPad Air 11 2024 M2, 128 GB, Wi-Fi, iPadOS, purple"
100336,"Apple iPad Air 11 2024 M2, 128 GB, Wi-Fi, iPadOS, space gray"
100337,"Apple iPad Air 11 2024 M2, 256 GB, Wi-Fi, iPadOS, space gray"
100338,"Apple iPad Air 11 2024 M2, 256 GB, Wi-Fi, iPadOS, purple"
100339,"Apple iPad Air 11 2024 M2, 256 GB, Wi-Fi, iPadOS, blue"
100340,"Apple iPad Air 11 2024 M2, 256 GB, Wi-Fi, iPadOS, Starlight"
100341,"Apple iPad Air 11 2024 M2, 512 GB, Wi-Fi, iPadOS, Starlight"
100342,"Apple iPad Air 11 2024 M2, 512 GB, Wi-Fi, iPadOS, blue"
100343,"Apple iPad Air 11 2024 M2, 512 GB, Wi-Fi, iPadOS, purple"
100344,"Apple iPad Air 11 2024 M2, 512 GB, Wi-Fi, iPadOS, space gray"
100345,"Apple iPad Air 11 2024 M2, 1 TB, Wi-Fi, iPadOS, space gray"
100346,"Apple iPad Air 11 2024 M2, 1 TB, Wi-Fi, iPadOS, purple"
100347,"Apple iPad Air 11 2024 M2, 1 TB, Wi-Fi, iPadOS, blue"
100348,"Apple iPad Air 11 2024 M2, 1 TB, Wi-Fi, iPadOS, Starlight"
100376,"Apple iPad Air 13 2024 M2, 256 Gb, Wi-Fi, iPadOS, Starlight"
100377,"Apple iPad Air 13 2024 M2, 256 Gb, Wi-Fi, iPadOS, blue"
100378,"Apple iPad Air 13 2024 M2, 256 Gb, Wi-Fi, iPadOS, space gray"
100379,"Apple iPad Air 13 2024 M2, 256 Gb, Wi-Fi, iPadOS, purple"
100380,"Apple iPad Air 13 2024 M2, 512 Gb, Wi-Fi, iPadOS, space gray"
100381,"Apple iPad Air 13 2024 M2, 512 Gb, Wi-Fi, iPadOS, purple"
100382,"Apple iPad Air 13 2024 M2, 512 Gb, Wi-Fi, iPadOS, Starlight"
100383,"Apple iPad Air 13 2024 M2, 512 Gb, Wi-Fi, iPadOS, blue"
100384,"Apple iPad Air 13 2024 M2, 1 TB, Wi-Fi, iPadOS, Starlight"
100385,"Apple iPad Air 13 2024 M2, 1 TB, Wi-Fi, iPadOS, space gray"
100386,"Apple iPad Air 13 2024 M2, 1 TB, Wi-Fi, iPadOS, purple"
100387,"Apple iPad Air 13 2024 M2, 1 TB, Wi-Fi, iPadOS, blue"
100388,"Apple iPad Air 13 2024 M2, 128 GB, Wi-Fi, iPadOS, space gray"
100389,"Apple iPad Air 13 2024 M2, 128 GB, Wi-Fi, iPadOS, blue"
100390,"Apple iPad Air 13 2024 M2, 128 GB, Wi-Fi, iPadOS, purple"
100391,"Apple iPad Air 13 2024 M2, 128 GB, Wi-Fi, iPadOS, Starlight"
100321,"Apple iPad Pro 11 2024 M4, 256 GB, Wi-Fi, Silver"
100322,"Apple iPad Pro 11 2024 M4, 256 GB, Wi-Fi, Space Black"
100326,"Apple iPad Pro 11 2024 M4, 256 GB, LTE, space gray"
100327,"Apple iPad Pro 11 2024 M4, 256 GB, LTE, silver"
100315,"Apple iPad Pro 13 2024, 1 TB, LTE, nano glass, iPadOS, Silver"
100316,"Apple iPad Pro 13 2024, 1 TB, LTE, standard glass, iPadOS, space black"
100317,"Apple iPad Pro 13 2024, 512 GB, LTE, standard glass, iPadOS, Silver"
100318,"Apple iPad Pro 13 2024, 2 TB, LTE, standard glass, iPadOS, space black"
100319,"Apple iPad Pro 13 2024, 2 TB, Wi-Fi, nano glass, iPadOS, space black"
100320,"Apple iPad Pro 13 2024, 1 TB, Wi-Fi, nano glass, iPadOS, space black"
100323,"Apple iPad Pro 13 2024 M4, 256 GB, Wi-Fi, Silver"
100324,"Apple iPad Pro 13 2024 M4, 256 GB, Wi-Fi, Space Black"
100325,"Apple iPad Pro 13 2024 M4, 256 GB, LTE, space black"
100396,"Apple iPad Pro 13 2024 M4, 512 Gb, Wi-Fi, iPadOS, Silver"
100397,"Apple iPad Pro 13 2024 M4, 512 Gb, Wi-Fi, iPadOS, space black"
101385," Apple iPad Air 11"" (2025) M3 128GB WiFi Blue"
101390," Apple iPad Air 11"" (2025) M3 128GB WiFi  Purple"
101391," Apple iPad Air 11"" (2025) M3 128GB WiFi  Starlight"
101392," Apple iPad Air 11"" (2025) M3 128GB WiFi   Space Gray "
101389,Apple iPad Air 11 M3 (2025) 128GB Wi-Fi + Cellular Blue 
101393,Apple iPad Air 11 M3 (2025) 128GB Wi-Fi + Cellular  Purple 
101394,Apple iPad Air 11 M3 (2025) 128GB Wi-Fi + Cellular  Starlight
101395,Apple iPad Air 11 M3 (2025) 128GB Wi-Fi + Cellular  Space Gray 
101396,Apple iPad Air 11 M3 256GB Blue Wi-Fi
101397,Apple iPad Air 11 M3 256GB Purple Wi-Fi
101398,Apple iPad Air 11 M3 256GB Starlight Wi-Fi
101399,Apple iPad Air 11 M3 256GB Space Gray Wi-Fi
101400,Apple iPad Air 11 M3 256GB Blue LTE
101401,Apple iPad Air 11 M3 256GB Purple LTE 
101402,Apple iPad Air 11 M3 256GB Starlight LTE
101403,Apple  iPad Air 11 M3 256GB Space Gray LTE 
100296,"iPhone 14 128Gb blue, Dual: nano SIM + eSIM"
100297,"iPhone 14 128Gb starlight, Dual: nano SIM + eSIM"
100298,"iPhone 14 128Gb purple, Dual: nano SIM + eSIM"
100299,"iPhone 14 128Gb midnight, Dual: nano SIM + eSIM"
100300,"iPhone 14 256Gb starlight, Dual: nano SIM + eSIM"
100301,"iPhone 14 256Gb midnight, Dual: nano SIM + eSIM"
100302,"iPhone 14 256Gb blue, Dual: nano SIM + eSIM"
100303,"iPhone 14 256Gb purple, Dual: nano SIM + eSIM"
100304,"iPhone 14 256Gb red, Dual: nano SIM + eSIM"
100305,"iPhone 14 plus 128Gb starlight, Dual: nano SIM + eSIM"
100306,"iPhone 14 plus 128Gb midnight, Dual: nano SIM + eSIM"
100307,"iPhone 14 plus 128Gb blue, Dual: nano SIM + eSIM"
100308,"iPhone 14 plus 128Gb purple, Dual: nano SIM + eSIM"
100309,"iPhone 14 plus 128Gb red, Dual: nano SIM + eSIM"
100310,"iPhone 14 plus 256Gb starlight, Dual: nano SIM + eSIM"
100311,"iPhone 14 plus 256Gb midnight, Dual: nano SIM + eSIM"
100312,"iPhone 14 plus 256Gb blue, Dual: nano SIM + eSIM"
100313,"iPhone 14 plus 256Gb purple, Dual: nano SIM + eSIM"
100314,"iPhone 14 plus 256Gb red, Dual: nano SIM + eSIM"
1,"iPhone 15 128Gb Black, Dual: nano SIM + eSIM"
d4u-iphone15-128-blue,"iPhone 15 128Gb Blue, Dual: nano SIM + eSIM"
d4u-iphone15-128-green,"iPhone 15 128Gb Green, Dual: nano SIM + eSIM"
d4u-iphone15-128-pink,"iPhone 15 128Gb Pink, Dual: nano SIM + eSIM"
d4u-iphone15-128-yellow,"iPhone 15 128Gb yellow, Dual: nano SIM + eSIM"
d4u-iphone-15-256-black,"iPhone 15 256Gb Black, Dual: nano SIM + eSIM"
d4u-iphone15-256-blue,"iPhone 15 256Gb Blue, Dual: nano SIM + eSIM"
d4u-iphone15-256-green,"iPhone 15 256Gb Green, Dual: nano SIM + eSIM"
d4u-iphone15-256-pink,"iPhone 15 256Gb Pink, Dual: nano SIM + eSIM"
d4u-iphone15-256-yellow,"iPhone 15 256Gb yellow, Dual: nano SIM + eSIM"
d4u-iphone15-512-black,"iPhone 15 512Gb Black, Dual: nano SIM + eSIM"
d4u-iphone15-512-blue,"iPhone 15 512Gb Blue, Dual: nano SIM + eSIM"
d4u-iphone15-512-green,"iPhone 15 512Gb Green, Dual: nano SIM + eSIM"
d4u-iphone15-512-pink,"iPhone 15 512Gb Pink, Dual: nano SIM + eSIM"
d4u-iphone15-512-yellow,"iPhone 15 512Gb yellow, Dual: nano SIM + eSIM"
d4u-iphone15-plus-128-black,"iPhone 15 Plus 128Gb Black, Dual: nano SIM + eSIM"
d4u-iphone15-plus-128-blue,"iPhone 15 Plus 128Gb Blue, Dual: nano SIM + eSIM"
d4u-iphone15-plus-128-green,"iPhone 15 Plus 128Gb Green, Dual: nano SIM + eSIM"
d4u-iphone15-plus-128-pink,"iPhone 15 Plus 128Gb Pink, Dual: nano SIM + eSIM"
d4u-iphone15-plus-128-yellow,"iPhone 15 Plus 128Gb Yellow, Dual: nano SIM + eSIM"
d4u-iphone15-plus-256-black,"iPhone 15 Plus 256Gb Black, Dual: nano SIM + eSIM"
d4u-iphone15-plus-256-blue,"iPhone 15 Plus 256Gb Blue, Dual: nano SIM + eSIM"
d4u-iphone15-plus-256-green,"iPhone 15 Plus 256Gb Green, Dual: nano SIM + eSIM"
d4u-iphone15-plus-256-pink,"iPhone 15 Plus 256Gb Pink, Dual: nano SIM + eSIM"
